,0,1
0,summit_elev,1.0540105293117024
1,vertical_drop,5.772786706472856
2,trams,-2.513601020147109
3,fastEight,-4.440892098500626e-16
4,fastSixes,1.6314749053912576
5,fastQuads,3.143627570768342
6,quad,4.149784821586217
7,triple,1.1567229715107072
8,double,0.40451217558606056
9,surface,-0.3979000345391794
10,total_chairs,2.788656990472057
11,Runs,3.0168434445115047
12,TerrainParks,-2.632004518734486
13,LongestRun_mi,2.3028784699477063
14,SkiableTerrain_ac,-6.181078552487639
15,Snow Making_ac,2.033730542565182
16,yearsOpen,0.5282436678235941
17,averageSnowfall,1.5521823457051818
18,NightSkiing_ac,1.1408688244529812
